bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
18608	3	681.49	255.56	0.00	51.11	0.00	51.11	51.11	51.11	25.56	25.56	0.00	0.00	170.37
37681	22	363.23	136.21	0.00	27.24	0.00	27.24	27.24	27.24	13.62	13.62	0.00	0.00	90.81
39205	25	303.07	113.65	0.00	22.73	0.00	22.73	22.73	22.73	11.36	11.36	0.00	0.00	75.77
39404	56	279.44	116.44	0.00	23.29	0.00	23.29	23.29	23.29	11.64	11.64	0.00	0.00	46.57
40003	1	333.63	125.11	0.00	25.02	0.00	25.02	25.02	25.02	12.51	12.51	0.00	0.00	83.41
40083	56	302.54	113.45	0.00	22.69	0.00	22.69	22.69	22.69	11.35	11.35	0.00	0.00	75.63
41164	75	287.88	95.96	0.00	19.19	0.00	19.19	19.19	19.19	9.60	9.60	0.00	95.96	0.00
41172	57	254.77	105.23	0.00	21.05	0.00	21.05	21.05	21.05	10.52	10.52	0.00	44.31	0.00
41376	32	283.01	106.13	0.00	21.23	0.00	21.23	21.23	21.23	10.61	10.61	0.00	70.75	0.00
42176	59	230.08	100.66	0.00	20.13	0.00	20.13	20.13	20.13	10.07	10.07	0.00	28.76	0.00
42313	30	214.04	85.61	0.00	17.12	0.00	17.12	17.12	17.12	8.56	8.56	0.00	42.81	0.00
42368	59	245.47	102.28	0.00	20.46	0.00	20.46	20.46	20.46	10.23	10.23	0.00	40.91	0.00
42424	49	258.68	107.78	0.00	21.56	0.00	21.56	21.56	21.56	10.78	10.78	0.00	43.11	0.00
42486	3	288.89	140.74	0.00	28.15	0.00	28.15	28.15	28.15	14.07	14.07	0.00	7.41	0.00
48827	33	98.78	49.39	0.00	9.88	0.00	9.88	9.88	9.88	4.94	4.94	0.00	0.00	0.00
48856	33	144.85	72.42	0.00	14.48	0.00	14.48	14.48	14.48	7.24	7.24	0.00	0.00	0.00
49019	56	96.63	48.32	0.00	9.66	0.00	9.66	9.66	9.66	4.83	4.83	0.00	0.00	0.00
49117	46	139.40	69.70	0.00	13.94	0.00	13.94	13.94	13.94	6.97	6.97	0.00	0.00	0.00
49494	59	137.10	68.55	0.00	13.71	0.00	13.71	13.71	13.71	6.86	6.86	0.00	0.00	0.00
49700	75	115.30	57.65	0.00	11.53	0.00	11.53	11.53	11.53	5.77	5.77	0.00	0.00	0.00
49744	3	111.51	55.76	0.00	11.15	0.00	11.15	11.15	11.15	5.58	5.58	0.00	0.00	0.00
49830	23	73.41	36.71	0.00	7.34	0.00	7.34	7.34	7.34	3.67	3.67	0.00	0.00	0.00
50174	20	110.51	55.26	0.00	11.05	0.00	11.05	11.05	11.05	5.53	5.53	0.00	0.00	0.00
50428	56	90.00	45.00	0.00	9.00	0.00	9.00	9.00	9.00	4.50	4.50	0.00	0.00	0.00
50475	56	56.01	28.01	0.00	5.60	0.00	5.60	5.60	5.60	2.80	2.80	0.00	0.00	0.00
50519	71	63.48	31.74	0.00	6.35	0.00	6.35	6.35	6.35	3.17	3.17	0.00	0.00	0.00
50602	75	94.29	47.15	0.00	9.43	0.00	9.43	9.43	9.43	4.71	4.71	0.00	0.00	0.00
50618	46	152.91	76.46	0.00	15.29	0.00	15.29	15.29	15.29	7.65	7.65	0.00	0.00	0.00
50723	75	97.83	48.91	0.00	9.78	0.00	9.78	9.78	9.78	4.89	4.89	0.00	0.00	0.00
50804	19	365.49	182.75	0.00	36.55	0.00	36.55	36.55	36.55	18.27	18.27	0.00	0.00	0.00
50823	3	83.02	41.51	0.00	8.30	0.00	8.30	8.30	8.30	4.15	4.15	0.00	0.00	0.00
51837	75	85.46	42.73	0.00	8.55	0.00	8.55	8.55	8.55	4.27	4.27	0.00	0.00	0.00
51894	20	84.93	42.47	0.00	8.49	0.00	8.49	8.49	8.49	4.25	4.25	0.00	0.00	0.00
61925	75	7.21	3.34	0.00	0.67	0.00	1.20	0.67	0.67	0.33	0.33	0.00	0.00	0.00
61941	1	21.27	9.82	0.00	1.96	0.00	3.60	1.96	1.96	0.98	0.98	0.00	0.00	0.00
63298	21	0.94	0.44	0.00	0.09	0.00	0.15	0.09	0.09	0.04	0.04	0.00	0.00	0.00
63345	39	0.03	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
63348	14	0.61	0.27	0.00	0.05	0.00	0.12	0.05	0.05	0.03	0.03	0.00	0.00	0.00
63401	73	2.79	1.27	0.00	0.25	0.00	0.51	0.25	0.25	0.13	0.13	0.00	0.00	0.00
63474	15	558.85	259.46	0.00	51.89	0.00	91.81	51.89	51.89	25.95	25.95	0.00	0.00	0.00
