bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
80736	14	278.67	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81083	2	244.00	0.2261	0.3152	0.0913	0.0891	0.2717	0.0000	0.0000	0.0000	0.0000	0.0022	0.0000	0.0043
81084	10	82.67	0.7826	0.0000	0.0435	0.0000	0.0000	0.0000	0.1739	0.0000	0.0000	0.0000	0.0000	0.0000
81128	2	181.33	0.6301	0.1503	0.1676	0.0116	0.0347	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0058
81135	17	164.00	0.9125	0.0250	0.0625	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81138	20	170.67	0.8204	0.0268	0.0509	0.0000	0.0000	0.0000	0.0751	0.0214	0.0000	0.0000	0.0000	0.0054
81146	20	172.00	0.8659	0.0000	0.0447	0.0000	0.0000	0.0000	0.0670	0.0168	0.0000	0.0000	0.0000	0.0056
81376	10	64.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81417	12	150.00	0.9000	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81513	10	31.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81519	7	158.67	0.4000	0.0000	0.0000	0.0500	0.2000	0.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81535	14	168.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81556	10	150.33	0.7045	0.0000	0.2955	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81563	7	159.33	0.5094	0.0660	0.0849	0.0377	0.0660	0.2358	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81568	14	159.67	0.9730	0.0000	0.0270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81571	14	165.67	0.9796	0.0000	0.0204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81589	17	151.00	0.8605	0.0233	0.1163	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81612	20	125.67	0.7176	0.0305	0.0611	0.0000	0.0000	0.0000	0.1603	0.0229	0.0000	0.0000	0.0000	0.0076
81618	14	23.67	0.9259	0.0000	0.0741	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81658	4	231.00	0.5978	0.0000	0.1739	0.0000	0.0000	0.2174	0.0000	0.0000	0.0109	0.0000	0.0000	0.0000
81706	14	189.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81719	19	180.33	0.9412	0.0000	0.0588	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81721	19	196.33	0.9809	0.0000	0.0191	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81724	19	92.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81727	14	121.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81740	6	1.00	0.4615	0.0000	0.3846	0.0000	0.1538	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81762	12	117.33	0.7823	0.0000	0.2177	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81824	14	112.00	0.9730	0.0000	0.0270	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81825	19	109.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81830	2	188.67	0.0000	0.3906	0.0234	0.5859	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81870	7	105.33	0.8667	0.0000	0.0667	0.0061	0.0000	0.0606	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81878	6	109.67	0.0769	0.5385	0.0000	0.0769	0.3077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81923	14	124.33	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81945	19	120.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81971	19	60.67	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81980	17	330.67	0.9331	0.0141	0.0246	0.0070	0.0106	0.0000	0.0000	0.0106	0.0000	0.0000	0.0000	0.0000
81983	8	360.00	0.3215	0.2926	0.0707	0.0997	0.2090	0.0000	0.0000	0.0000	0.0000	0.0032	0.0000	0.0032
82004	12	60.00	0.8387	0.0000	0.1613	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82005	6	356.00	0.8452	0.0129	0.0516	0.0000	0.0000	0.0000	0.0710	0.0129	0.0000	0.0000	0.0000	0.0065
82006	17	44.33	0.1724	0.2414	0.2759	0.3103	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82053	19	31.00	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82061	20	22.67	0.6056	0.1408	0.2113	0.0000	0.0000	0.0000	0.0000	0.0423	0.0000	0.0000	0.0000	0.0000
82083	17	2.00	0.3134	0.1194	0.0448	0.3881	0.1343	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
82088	10	3.00	0.9333	0.0000	0.0667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
